step,mid_price,drl_profit,portfolio_value,drl_inventory,chosen_spread_width,epsilon,reward,egt_prop_aggressive,egt_prop_passive,egt_prop_random,egt_prop_momentum,rolling_avg_reward,egt_avg,drl_profit_change,egt_change
12,13.288746587374433,100009.47005851571,100009.47005851571,-3,0.4,1.0,0.5787403025968185,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.3201595960624373,0.25,1.3080016561434604,0.0
13,13.288246693295566,100009.67155819794,100009.67155819794,-4,0.4,1.0,0.08335724412217421,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.30324514235241856,0.25,0.20149968222540338,0.0
14,13.242499753287085,100009.85454595798,100009.85454595798,-4,0.8,1.0,0.08360873033961369,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2886027148848982,0.25,0.18298776003939565,0.0
15,13.201363293871808,100011.0190917956,100011.0190917956,-10,0.4,1.0,0.4550950742560162,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2990084873455931,0.25,1.1645458376297029,0.0
16,13.132550500328424,100012.25721973102,100012.25721973102,-4,0.25,1.0,0.5555539253078853,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.31409939546102206,0.25,1.2381279354158323,0.0
17,13.15935292283218,100012.550010041,100012.550010041,0,0.4,1.0,0.12265892712068689,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.303463813886559,0.25,0.2927903099771356,0.0
18,13.103880533542384,100013.15001004102,100013.15001004102,-2,0.4,1.0,0.26279962355723185,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.3013235933429102,0.25,0.6000000000203727,0.0
19,12.999791907356348,100014.05818729338,100014.05818729338,-1,0.2,1.0,0.39382891539538917,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.3059488594455341,0.25,0.9081772523641121,0.0
20,12.87738026471304,100014.58059893602,100014.58059893602,-2,0.8,1.0,0.2532175123766693,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.30343784291844533,0.25,0.5224116426397813,0.0
21,12.92175749376225,100014.99184447792,100014.99184447792,-3,0.4,1.0,0.1740786988900941,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.29755788182624754,0.25,0.41124554189445917,0.0
22,13.019362317656336,100014.89903000623,100014.89903000623,-4,0.4,1.0,-0.06527123864039416,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.281782702675524,0.25,-0.09281447168905288,0.0
23,12.997175608426453,100015.38777684317,100015.38777684317,-2,0.2,1.0,0.21221678861704302,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2788841229230873,0.25,0.48874683694157284,0.0
24,13.270919627088912,100015.24028880584,100015.24028880584,-3,0.8,1.0,-0.08828134539244993,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2641975041904658,0.25,-0.14748803732800297,0.0
25,13.22878513026921,100016.16669229629,100016.16669229629,-1,0.8,1.0,0.4562330568510421,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2715834869851034,0.25,0.9264034904481377,0.0
