step,mid_price,drl_profit,portfolio_value,drl_inventory,chosen_spread_width,epsilon,reward,egt_prop_aggressive,egt_prop_passive,egt_prop_random,egt_prop_momentum,rolling_avg_reward,egt_avg,drl_profit_change,egt_change
0,196.2050018310547,100001.10000000003,100001.10000000003,3,0.4,1.0,0.4741000000176369,0.004014983681594623,0.7423463771232058,0.24962365551360496,0.004014983681594623,0.4741000000176369,0.25,0.0,0.0
1,193.7183380126953,99994.84000854503,99994.84000854503,3,0.2,1.0,-3.292495340483437,0.004014983681594623,0.7423463771232058,0.24962365551360496,0.004014983681594623,-1.4091976702329,0.25,-6.259991455008276,0.0
2,194.98333740234378,99999.035006714,99999.035006714,-1,0.4,1.0,2.0860751576927257,0.004014983681594623,0.7423463771232058,0.24962365551360496,0.004014983681594623,-0.24410672759102484,0.25,4.194998168968596,0.0
3,185.45833587646484,100008.56000823987,100008.56000823987,-1,0.8,1.0,4.810926230151409,0.004014983681594623,0.7423463771232058,0.24962365551360496,0.004014983681594623,1.0196515118445837,0.25,9.525001525878906,0.0
4,196.89999389648438,99998.1183502199,99998.1183502199,-7,0.4,1.0,-5.378432831436399,0.004014983681594623,0.7423463771232058,0.24962365551360496,0.004014983681594623,-0.2599653568116128,0.25,-10.441658019975876,0.0
5,197.42333221435547,99994.7349819948,99994.7349819948,-8,0.4228571428571428,1.0,-1.7536412719965981,0.004014983681594623,0.7423463771232058,0.24962365551360496,0.004014983681594623,-0.5089113426757771,0.25,-3.3833682250988204,0.0
6,208.63999938964844,99905.50164459246,99905.50164459246,-4,0.44500000000000006,1.0,-45.09865888017686,0.004014983681594623,0.7423463771232058,0.24962365551360496,0.004014983681594623,-6.878875276604504,0.25,-89.23333740234375,0.0
7,211.6300048828125,99894.44162261985,99894.44162261985,-5,0.2,1.0,-5.687563403288681,0.004014983681594623,0.7423463771232058,0.24962365551360496,0.004014983681594623,-6.729961292440025,0.25,-11.060021972603863,0.0
8,207.05333709716797,99917.8249615481,99917.8249615481,0,0.4,1.0,11.776709704545809,0.004014983681594623,0.7423463771232058,0.24962365551360496,0.004014983681594623,-4.673664514997155,0.25,23.38333892825176,0.0
9,199.01499938964844,99917.8249615481,99917.8249615481,0,0.8,1.0,0.002,0.004014983681594623,0.7423463771232058,0.24962365551360496,0.004014983681594623,-4.20609806349744,0.25,0.0,0.0
