step,mid_price,drl_profit,portfolio_value,drl_inventory,chosen_spread_width,epsilon,reward,egt_prop_aggressive,egt_prop_passive,egt_prop_random,egt_prop_momentum,rolling_avg_reward,egt_avg,drl_profit_change,egt_change
42,51.1570987701416,100024.2219744116,100024.2219744116,1,0.8,0.9416228069143757,0.35470331568779084,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23513402167108485,0.25,0.7312953948858194,0.0
43,51.192501068115234,100025.25737670963,100025.25737670963,3,0.2,0.9369146928798039,0.4112769068353449,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23913726906118168,0.25,1.0354022980318405,0.0
44,51.1875,100025.24237350529,100025.24237350529,3,0.4,0.9322301194154049,-0.021176599252285207,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2333525164319935,0.25,-0.015003204345703125,0.0
45,51.16499900817871,100025.57487052985,100025.57487052985,7,0.4,0.9275689688183278,0.08031057785770392,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23002551776733504,0.25,0.3324970245594159,0.0
46,51.130001068115234,100025.47274209226,100025.47274209226,6,0.4228571428571428,0.9229311239742362,-0.09648901613418084,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2230784000247496,0.25,-0.10212843758927193,0.0
47,51.10824966430664,100026.0822336694,100026.0822336694,6,0.37,0.918316468354365,0.2310724703818573,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.22324494315718935,0.25,0.6094915771391243,0.0
48,51.101749420166016,100027.01323220454,100027.01323220454,5,0.44333333333333336,0.9137248860125932,0.3960930464376671,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.22677245546903582,0.25,0.9309985351428622,0.0
49,51.177499771118164,100027.99198395929,100027.99198395929,6,0.4,0.9091562615825302,0.4272683145443528,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23078237265054216,0.25,0.978751754752011,0.0
50,51.21500015258789,100028.94698624808,100028.94698624808,7,0.20333333333333334,0.9046104802746175,0.3653348195901208,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23342065592386724,0.25,0.955002288785181,0.0
51,51.19499969482422,100029.09269732944,100029.09269732944,6,0.8457142857142856,0.9000874278732445,0.028955313826659758,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22948863011430554,0.25,0.1457110813644249,0.0
52,51.17365074157715,100029.87127027658,100029.87127027658,0,0.20333333333333334,0.8955869907338783,0.31499153942711267,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23110189255416985,0.25,0.7785729471361265,0.0
53,51.22500038146973,100030.97127027661,100030.97127027661,3,0.4,0.8911090557802088,0.4740983575883862,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2356018270918405,0.25,1.1000000000349246,0.0
54,51.204999923706055,100030.91126890332,100030.91126890332,3,0.8,0.8866535105013078,-0.04390060062479377,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2305199647697199,0.25,-0.060001373291015625,0.0
55,51.23749923706055,100031.00876684338,100031.00876684338,3,0.8,0.8822202429488013,0.035636309089369086,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22703989948971362,0.25,0.09749794006347656,0.0
56,51.25990104675293,100032.07597227245,100032.07597227245,-2,0.4,0.8778091417340573,0.49253708755331826,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23169774489433825,0.25,1.0672054290625965,0.0
57,51.22574996948242,100032.54427442698,100032.54427442698,0,0.4,0.8734200960253871,0.22529183721876053,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23158729821027657,0.25,0.46830215453519486,0.0
58,51.17250061035156,100034.04427442701,100034.04427442701,-1,0.4,0.8690529955452602,0.6912975599882043,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23937899756244482,0.25,1.5000000000291038,0.0
59,51.1200008392334,100034.49677419812,100034.49677419812,0,0.8,0.8647077305675338,0.2243116144225513,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23912787451011328,0.25,0.4524997711123433,0.0
60,51.10499954223633,100035.39677419818,100035.39677419818,3,0.2,0.8603841919146962,0.35269844820694407,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2409896871936679,0.25,0.9000000000523869,0.0
61,51.14000129699707,100036.40177946251,100036.40177946251,4,0.2,0.8560822709551227,0.398525880421138,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.24353059353604645,0.25,1.0050052643346135,0.0
62,51.119998931884766,100036.62177000206,100036.62177000206,5,0.4,0.851801859600347,0.07269482221795959,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.24081891462623553,0.25,0.21999053955369163,0.0
63,51.144948959350586,100037.14652013939,100037.14652013939,5,0.4,0.8475428503023453,0.21679785883607147,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.24044358562951423,0.25,0.5247501373232808,0.0
64,51.130001068115234,100038.17178068327,100038.17178068327,4,0.2,0.8433051360508336,0.39215467112709695,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.24277760232947704,0.25,1.0252605438872706,0.0
65,51.08824920654297,100038.40477323698,100038.40477323698,3,0.8,0.8390886103705794,0.09786079510373108,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.24058189312908695,0.25,0.23299255370511673,0.0
66,50.9900016784668,100038.11003065275,100038.11003065275,3,0.8,0.8348931673187264,-0.16244443927657326,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2345665747349726,0.25,-0.2947425842285156,0.0
67,50.97039985656738,100038.05122518705,100038.05122518705,3,0.8,0.8307187014821328,-0.04329664816639481,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23048035086877605,0.25,-0.05880546569824219,0.0
68,51.03999900817871,100039.06002264193,100039.06002264193,3,0.2,0.8265651079747222,0.4174407961457608,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.233189922539457,0.25,1.0087974548805505,0.0
69,51.0,100038.9400256174,100038.9400256174,3,0.4,0.8224322824348486,-0.07419826312792542,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22879866274420868,0.25,-0.11999702453613281,0.0
70,50.959999084472656,100038.82002287082,100038.82002287082,3,0.4,0.8183201210226743,-0.07420115346937069,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22453105969894696,0.25,-0.12000274658203125,0.0
71,50.92755126953125,100039.12267942599,100039.12267942599,4,0.8,0.8142285204175609,0.12284097313207268,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22311869738551815,0.25,0.3026565551699605,0.0
72,50.885000228881836,100039.75247526338,100039.75247526338,2,0.4,0.810157377815473,0.2782456663990614,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2238738613446078,0.25,0.6297958373907022,0.0
73,50.8700008392334,100040.92247648415,100040.92247648415,0,0.2,0.8061065909263957,0.4812482918922079,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22735189418984564,0.25,1.1700012207729742,0.0
74,50.907501220703125,100041.72247648414,100041.72247648414,0,0.8,0.8020760579717637,0.3875983637646473,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22948851378417634,0.25,0.7999999999883585,0.0
75,50.92500114440918,100042.92247648412,100042.92247648412,-2,0.4,0.798065677681905,0.5469974976866161,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2336662635723663,0.25,1.1999999999825377,0.0
76,50.8887996673584,100042.99487943822,100042.99487943822,-2,0.4,0.7940753492934954,0.0351633365022511,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23108830348054663,0.25,0.0724029541015625,0.0
77,50.87750053405762,100043.61747770481,100043.61747770481,-1,0.4,0.7901049725470279,0.28941078677771703,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23183602762538216,0.25,0.6225982665928314,0.0
78,50.970550537109375,100043.82442770178,100043.82442770178,-4,0.4,0.7861544476842928,0.06630929733261058,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22974075255838505,0.25,0.20694999696570449,0.0
79,50.92499923706055,100044.40663290197,100044.40663290197,-6,0.4,0.7822236754458713,0.2546123509140492,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23005164753783086,0.25,0.5822052001894917,0.0
80,50.95000076293945,100045.14329041338,100045.14329041338,-8,0.4066666666666667,0.778312557068642,0.2981837416993192,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23089278450278752,0.25,0.7366575114137959,0.0
81,51.052499771118164,100045.39329834796,100045.39329834796,-6,0.34750000000000003,0.7744209942832988,0.05419344290712808,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22873791448332825,0.25,0.2500079345772974,0.0
82,51.11249923706055,100045.7733015523,100045.7733015523,-6,0.37,0.7705488893118823,0.13318075610126595,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2275866234184841,0.25,0.3800032043363899,0.0
83,51.119998931884766,100046.45830338333,100046.45830338333,-9,0.37,0.7666961448653229,0.25258435765071996,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2278842154926774,0.25,0.685001831036061,0.0
